INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT;GEN_FACT;GEN_PLAN
0;01.01.2018 0:00:00;1;0;83814;87710;87888
1;01.01.2018 0:00:00;1;0;81704;85233;85510
2;01.01.2018 0:00:00;1;0;80010;83741;84460
3;01.01.2018 0:00:00;1;0;80003;83798;84386
4;01.01.2018 0:00:00;1;0;80248;84378;84397
5;01.01.2018 0:00:00;1;0;80058;84143;84891
6;01.01.2018 0:00:00;1;0;80433;84165;85180
7;01.01.2018 0:00:00;1;0;81109;85276;86789
8;01.01.2018 0:00:00;1;0;82502;86933;88113
9;01.01.2018 0:00:00;1;0;83753;88465;88934
10;01.01.2018 0:00:00;1;0;84670;89275;89841
11;01.01.2018 0:00:00;1;0;85468;89933;90293
12;01.01.2018 0:00:00;1;0;85436;89943;90815
13;01.01.2018 0:00:00;1;0;86766;91052;91856
14;01.01.2018 0:00:00;1;0;88626;93150;93323
15;01.01.2018 0:00:00;1;0;91367;95876;96068
16;01.01.2018 0:00:00;1;0;92148;96927;97335
17;01.01.2018 0:00:00;1;0;92211;97010;97021
18;01.01.2018 0:00:00;1;0;91606;95702;96237
19;01.01.2018 0:00:00;1;0;90504;94641;95430
20;01.01.2018 0:00:00;1;0;89252;93501;93295
21;01.01.2018 0:00:00;1;0;86296;90875;90924
22;01.01.2018 0:00:00;1;0;83558;87755;88228
23;01.01.2018 0:00:00;1;0;81522;85714;86256
0;02.01.2018 0:00:00;1;0;79422;84178;84709
1;02.01.2018 0:00:00;1;0;78674;83471;83860
2;02.01.2018 0:00:00;1;0;78254;83432;83493
3;02.01.2018 0:00:00;1;0;79050;84077;84180
4;02.01.2018 0:00:00;1;0;80162;85029;85335
5;02.01.2018 0:00:00;1;0;81680;86471;87040
6;02.01.2018 0:00:00;1;0;83377;88672;88501
7;02.01.2018 0:00:00;1;0;85809;91118;90766
8;02.01.2018 0:00:00;1;0;88237;93218;92170
9;02.01.2018 0:00:00;1;0;89676;94532;93390
10;02.01.2018 0:00:00;1;0;90147;94510;94311
11;02.01.2018 0:00:00;1;0;90334;95000;94858
12;02.01.2018 0:00:00;1;0;90088;95134;95072
13;02.01.2018 0:00:00;1;0;90695;95922;95746
14;02.01.2018 0:00:00;1;0;92043;97297;97341
15;02.01.2018 0:00:00;1;0;94788;100020;100114
16;02.01.2018 0:00:00;1;0;95121;100408;100835
17;02.01.2018 0:00:00;1;0;94610;100104;100159
18;02.01.2018 0:00:00;1;0;93878;98716;98917
19;02.01.2018 0:00:00;1;0;92714;97649;97424
20;02.01.2018 0:00:00;1;0;90454;95617;95412
21;02.01.2018 0:00:00;1;0;87453;92364;92430
22;02.01.2018 0:00:00;1;0;84811;89524;89398
23;02.01.2018 0:00:00;1;0;82207;86695;87056
0;03.01.2018 0:00:00;1;0;80440;85265;85355
1;03.01.2018 0:00:00;1;0;79308;84193;84332
2;03.01.2018 0:00:00;1;0;79458;84090;84045
