DATE;GEN_PLAN;GEN_FACT;E_USE_FACT;PREDICTION
01.11.2018 0:00:00;26174;26204;25020;26425
01.11.2018 0:00:00;25968;25997;24568;26196
01.11.2018 0:00:00;26064;26158;24528;26545
01.11.2018 0:00:00;26551;26588;24872;26917
01.11.2018 0:00:00;27660;27786;25944;28388
01.11.2018 0:00:00;30257;30307;28056;30708
01.11.2018 0:00:00;30924;30944;29455;31436
01.11.2018 0:00:00;31841;32437;31280;33393
01.11.2018 0:00:00;32445;32980;32006;33804
01.11.2018 0:00:00;31874;32740;32135;33812
01.11.2018 0:00:00;31926;32352;31596;33248
01.11.2018 0:00:00;31980;32406;31651;33118
01.11.2018 0:00:00;32053;32705;32039;33640
01.11.2018 0:00:00;32021;32410;31863;33035
01.11.2018 0:00:00;31840;32223;31957;32938
01.11.2018 0:00:00;32375;32485;32246;32998
01.11.2018 0:00:00;33292;33544;32707;34044
01.11.2018 0:00:00;32758;33205;32416;33848
01.11.2018 0:00:00;32374;32568;31717;33187
01.11.2018 0:00:00;31176;31962;30846;32999
01.11.2018 0:00:00;31020;31641;29751;32705
01.11.2018 0:00:00;28433;28649;27907;29156
01.11.2018 0:00:00;27099;27715;26035;28512
01.11.2018 0:00:00;26289;26403;25123;26838
02.11.2018 0:00:00;25938;25175;24395;24712
02.11.2018 0:00:00;25923;25128;23996;24618
02.11.2018 0:00:00;26154;25796;23998;25785
02.11.2018 0:00:00;26407;26113;24532;26318
02.11.2018 0:00:00;27972;28054;25609;28365
02.11.2018 0:00:00;30371;30434;27515;30785
02.11.2018 0:00:00;31076;30634;29035;30617
02.11.2018 0:00:00;31961;32505;30945;33170
02.11.2018 0:00:00;32527;32524;31615;32841
02.11.2018 0:00:00;32219;32888;31749;33879
02.11.2018 0:00:00;32098;32720;30960;33823
02.11.2018 0:00:00;32164;32329;30659;32635
02.11.2018 0:00:00;32187;32348;30890;32805
02.11.2018 0:00:00;31884;31928;30662;32352
02.11.2018 0:00:00;31686;31753;30443;32217
02.11.2018 0:00:00;32080;32110;31058;32471
02.11.2018 0:00:00;32889;33533;32160;34358
02.11.2018 0:00:00;32678;33313;31938;34152
02.11.2018 0:00:00;32324;32271;31195;32627
02.11.2018 0:00:00;31172;31482;30579;32071
02.11.2018 0:00:00;29825;30281;29339;31067
02.11.2018 0:00:00;28560;29031;27860;29741
02.11.2018 0:00:00;27346;27939;26418;28634
02.11.2018 0:00:00;26484;26448;25227;26565
03.11.2018 0:00:00;25970;26146;24499;26576
03.11.2018 0:00:00;25598;25716;23907;26009
03.11.2018 0:00:00;25413;25479;23722;25648
03.11.2018 0:00:00;25857;25634;23877;25840
03.11.2018 0:00:00;26630;26697;24430;27060
03.11.2018 0:00:00;28041;28021;25380;28378
03.11.2018 0:00:00;29079;28422;25902;28071
03.11.2018 0:00:00;29337;29367;27424;29851
03.11.2018 0:00:00;29587;29637;28672;30163
03.11.2018 0:00:00;29669;29683;29017;30063
03.11.2018 0:00:00;29667;29728;29002;30175
03.11.2018 0:00:00;29680;29764;29225;30037
03.11.2018 0:00:00;29698;29789;29056;30174
03.11.2018 0:00:00;29838;29969;29267;30331
03.11.2018 0:00:00;30527;30644;29562;30935
03.11.2018 0:00:00;31592;31468;30290;31577
03.11.2018 0:00:00;32286;32335;30855;32565
03.11.2018 0:00:00;31829;31945;30580;32203
03.11.2018 0:00:00;31214;31363;29856;31896
03.11.2018 0:00:00;30931;30558;29265;30527
03.11.2018 0:00:00;29839;29866;28580;30149
03.11.2018 0:00:00;27806;27855;27122;28292
03.11.2018 0:00:00;27110;27158;25606;27559
03.11.2018 0:00:00;25420;25242;24740;25277
04.11.2018 0:00:00;25071;25098;23982;25442
04.11.2018 0:00:00;24645;24675;23491;25118
04.11.2018 0:00:00;24499;24549;23476;24815
04.11.2018 0:00:00;24508;24539;23439;24954
04.11.2018 0:00:00;25258;25312;24225;25770
04.11.2018 0:00:00;25994;26291;24672;26839
04.11.2018 0:00:00;27248;27067;24744;27117
04.11.2018 0:00:00;28509;28349;26155;28460
04.11.2018 0:00:00;28575;28623;27191;28838
04.11.2018 0:00:00;28571;28666;27709;28866
04.11.2018 0:00:00;28635;28831;27810;29288
04.11.2018 0:00:00;28692;29341;27733;30139
04.11.2018 0:00:00;28886;29517;27700;30600
04.11.2018 0:00:00;28898;29505;27857;30364
04.11.2018 0:00:00;29316;29979;27883;31073
04.11.2018 0:00:00;30264;30910;29061;31667
04.11.2018 0:00:00;31011;31758;30085;32822
04.11.2018 0:00:00;30619;31175;29923;32080
04.11.2018 0:00:00;30469;30493;29116;30730
04.11.2018 0:00:00;29896;29905;29009;30121
04.11.2018 0:00:00;27642;27714;28230;28192
04.11.2018 0:00:00;27018;27097;26678;27426
04.11.2018 0:00:00;26368;26460;25525;26974
04.11.2018 0:00:00;25565;25612;24750;25957
05.11.2018 0:00:00;25372;25332;24004;25771
05.11.2018 0:00:00;24990;25066;23769;25397
05.11.2018 0:00:00;24645;24741;23465;25205
05.11.2018 0:00:00;24741;24818;23756;25280
05.11.2018 0:00:00;25621;25685;24512;26014
05.11.2018 0:00:00;26066;25926;25258;25962
05.11.2018 0:00:00;27753;27831;25347;28228
05.11.2018 0:00:00;29501;29657;27581;30282
05.11.2018 0:00:00;29664;30309;28587;31108
05.11.2018 0:00:00;30095;30247;28760;30525
05.11.2018 0:00:00;30094;30143;28819;30639
05.11.2018 0:00:00;29996;30038;28671;30328
05.11.2018 0:00:00;30079;30088;28783;30310
05.11.2018 0:00:00;30091;30123;28784;30364
05.11.2018 0:00:00;30555;30781;28957;31293
05.11.2018 0:00:00;31260;31721;29867;32558
05.11.2018 0:00:00;32061;32217;31406;32763
05.11.2018 0:00:00;31971;32445;31135;33020
05.11.2018 0:00:00;31380;31488;30400;31982
05.11.2018 0:00:00;31104;31231;30060;31812
05.11.2018 0:00:00;29597;29682;28817;30129
05.11.2018 0:00:00;28139;28055;27427;28338
05.11.2018 0:00:00;26281;26823;25993;27610
05.11.2018 0:00:00;25770;25797;25148;26219
06.11.2018 0:00:00;25230;25238;24339;25380
06.11.2018 0:00:00;25214;25241;24229;25372
06.11.2018 0:00:00;25266;25314;24139;25586
06.11.2018 0:00:00;25864;25889;24464;26209
06.11.2018 0:00:00;27026;26959;26000;26995
06.11.2018 0:00:00;29806;30304;28282;31010
06.11.2018 0:00:00;30597;31907;29526;33419
06.11.2018 0:00:00;32226;32547;31553;33310
06.11.2018 0:00:00;32907;33326;32027;33889
06.11.2018 0:00:00;32688;33229;31831;33873
06.11.2018 0:00:00;32161;32250;31243;32662
06.11.2018 0:00:00;32000;32019;31256;32387
06.11.2018 0:00:00;31935;32207;31339;32772
06.11.2018 0:00:00;31872;32243;31060;32954
06.11.2018 0:00:00;32009;32105;31329;32422
