INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT;E_USE_PLAN
0;27.01.2020 0:00;1;0;87584;88456
1;27.01.2020 0:00;1;0;86497;86952
2;27.01.2020 0:00;1;0;85858;86352
3;27.01.2020 0:00;1;0;86158;87218
4;27.01.2020 0:00;1;0;88435;89474
5;27.01.2020 0:00;1;0;92917;93548
6;27.01.2020 0:00;1;0;98750;99316
7;27.01.2020 0:00;1;0;102835;103656
8;27.01.2020 0:00;1;0;105726;106504
9;27.01.2020 0:00;1;0;106445;107582
10;27.01.2020 0:00;1;0;105562;106657
11;27.01.2020 0:00;1;0;105130;105852
12;27.01.2020 0:00;1;0;104749;105687
13;27.01.2020 0:00;1;0;104766;105517
14;27.01.2020 0:00;1;0;104263;105337
15;27.01.2020 0:00;1;0;105184;105823
16;27.01.2020 0:00;1;0;105636;106901
17;27.01.2020 0:00;1;0;107180;107986
18;27.01.2020 0:00;1;0;106465;107027
19;27.01.2020 0:00;1;0;104783;105122
20;27.01.2020 0:00;1;0;102571;103057
21;27.01.2020 0:00;1;0;99047;99811
22;27.01.2020 0:00;1;0;95076;95827
23;27.01.2020 0:00;1;0;91915;92332
0;28.01.2020 0:00;1;0;89611;89815
1;28.01.2020 0:00;1;0;88432;88196
2;28.01.2020 0:00;1;0;87871;87568
3;28.01.2020 0:00;1;0;88214;88614
4;28.01.2020 0:00;1;0;90638;90954
5;28.01.2020 0:00;1;0;94871;95231
6;28.01.2020 0:00;1;0;100619;101196
7;28.01.2020 0:00;1;0;104134;104911
8;28.01.2020 0:00;1;0;107100;108154
9;28.01.2020 0:00;1;0;107824;108809
10;28.01.2020 0:00;1;0;106736;108223
11;28.01.2020 0:00;1;0;105945;107317
12;28.01.2020 0:00;1;0;105940;106850
13;28.01.2020 0:00;1;0;105774;106633
14;28.01.2020 0:00;1;0;105284;106506
15;28.01.2020 0:00;1;0;105584;107054
16;28.01.2020 0:00;1;0;106688;107764
17;28.01.2020 0:00;1;0;108440;108935
18;28.01.2020 0:00;1;0;107062;108040
19;28.01.2020 0:00;1;0;105606;106348
20;28.01.2020 0:00;1;0;103317;103826
21;28.01.2020 0:00;1;0;99482;100496
22;28.01.2020 0:00;1;0;95013;96550
23;28.01.2020 0:00;1;0;92039;92668
0;29.01.2020 0:00;1;0;89808;90187
1;29.01.2020 0:00;1;0;88201;88628
2;29.01.2020 0:00;1;0;88101;88380
3;29.01.2020 0:00;1;0;88959;88900
4;29.01.2020 0:00;1;0;90667;91262
5;29.01.2020 0:00;1;0;94965;95388
6;29.01.2020 0:00;1;0;100582;101225
7;29.01.2020 0:00;1;0;104565;105033
8;29.01.2020 0:00;1;0;107309;107979
9;29.01.2020 0:00;1;0;107962;108779
10;29.01.2020 0:00;1;0;107184;108200
11;29.01.2020 0:00;1;0;106401;107052
12;29.01.2020 0:00;1;0;106328;106777
13;29.01.2020 0:00;1;0;106393;106649
14;29.01.2020 0:00;1;0;105568;106582
15;29.01.2020 0:00;1;0;105943;107153
16;29.01.2020 0:00;1;0;106647;107885
17;29.01.2020 0:00;1;0;108205;109056
18;29.01.2020 0:00;1;0;106755;108009
19;29.01.2020 0:00;1;0;105273;106192
20;29.01.2020 0:00;1;0;102903;103834
21;29.01.2020 0:00;1;0;99580;100084
22;29.01.2020 0:00;1;0;94941;96155
23;29.01.2020 0:00;1;0;91929;92381
0;30.01.2020 0:00;1;0;89151;89696
1;30.01.2020 0:00;1;0;88083;88441
2;30.01.2020 0:00;1;0;87226;87906
3;30.01.2020 0:00;1;0;88516;88857
4;30.01.2020 0:00;1;0;90636;91063
5;30.01.2020 0:00;1;0;94697;95215
6;30.01.2020 0:00;1;0;99870;100866
7;30.01.2020 0:00;1;0;103823;104590
8;30.01.2020 0:00;1;0;106452;107252
9;30.01.2020 0:00;1;0;106856;108027
10;30.01.2020 0:00;1;0;106628;107218
11;30.01.2020 0:00;1;0;105789;105992
12;30.01.2020 0:00;1;0;105550;105854
13;30.01.2020 0:00;1;0;105603;106050
14;30.01.2020 0:00;1;0;105509;105998
15;30.01.2020 0:00;1;0;105585;106593
16;30.01.2020 0:00;1;0;106353;107309
17;30.01.2020 0:00;1;0;107797;108715
18;30.01.2020 0:00;1;0;107104;107608
19;30.01.2020 0:00;1;0;104992;105346
20;30.01.2020 0:00;1;0;102543;103234
21;30.01.2020 0:00;1;0;99453;99692
22;30.01.2020 0:00;1;0;94553;95490
23;30.01.2020 0:00;1;0;91386;92096
0;31.01.2020 0:00;1;0;89219;89475
1;31.01.2020 0:00;1;0;87744;88146
2;31.01.2020 0:00;1;0;87074;87734
3;31.01.2020 0:00;1;0;87846;88317
4;31.01.2020 0:00;1;0;90047;90431
5;31.01.2020 0:00;1;0;94036;94573
6;31.01.2020 0:00;1;0;99548;100039
7;31.01.2020 0:00;1;0;102887;103958
8;31.01.2020 0:00;1;0;105853;106802
9;31.01.2020 0:00;1;0;106702;107470
10;31.01.2020 0:00;1;0;106104;106679
11;31.01.2020 0:00;1;0;105531;105911
12;31.01.2020 0:00;1;0;104854;105624
13;31.01.2020 0:00;1;0;104660;105640
14;31.01.2020 0:00;1;0;104892;105126
15;31.01.2020 0:00;1;0;104565;105150
16;31.01.2020 0:00;1;0;105007;105803
17;31.01.2020 0:00;1;0;106552;107318
18;31.01.2020 0:00;1;0;105622;105946
19;31.01.2020 0:00;1;0;103535;104161
20;31.01.2020 0:00;1;0;101406;102163
21;31.01.2020 0:00;1;0;98807;99343
22;31.01.2020 0:00;1;0;94786;94824
23;31.01.2020 0:00;1;0;91171;91757
0;01.02.2020 0:00;1;0;89122;89416
1;01.02.2020 0:00;1;0;87948;87956
2;01.02.2020 0:00;1;0;86963;87361
3;01.02.2020 0:00;1;0;86845;87661
4;01.02.2020 0:00;1;0;87654;88353
5;01.02.2020 0:00;1;0;89510;90190
6;01.02.2020 0:00;1;0;91936;93080
7;01.02.2020 0:00;1;0;95141;95956
8;01.02.2020 0:00;1;0;98544;99022
9;01.02.2020 0:00;1;0;100192;101087
10;01.02.2020 0:00;1;0;100744;101377
11;01.02.2020 0:00;1;0;100674;101048
12;01.02.2020 0:00;1;0;100271;100841
13;01.02.2020 0:00;1;0;100179;100498
14;01.02.2020 0:00;1;0;99823;100650
15;01.02.2020 0:00;1;0;100638;101473
16;01.02.2020 0:00;1;0;101858;102798
17;01.02.2020 0:00;1;0;103565;104382
18;01.02.2020 0:00;1;0;102984;103449
19;01.02.2020 0:00;1;0;100857;101683
20;01.02.2020 0:00;1;0;99179;99975
21;01.02.2020 0:00;1;0;96500;97452
22;01.02.2020 0:00;1;0;0;93683
23;01.02.2020 0:00;1;0;90381;90522
0;02.02.2020 0:00;1;0;88018;88316
1;02.02.2020 0:00;1;0;86085;86887
2;02.02.2020 0:00;1;0;85296;86248
3;02.02.2020 0:00;1;0;85620;85903
4;02.02.2020 0:00;1;0;85968;86413
5;02.02.2020 0:00;1;0;87569;88056
6;02.02.2020 0:00;1;0;89522;90438
7;02.02.2020 0:00;1;0;91910;92730
8;02.02.2020 0:00;1;0;95047;95450
9;02.02.2020 0:00;1;0;97038;97767
10;02.02.2020 0:00;1;0;97927;98921
11;02.02.2020 0:00;1;0;98138;98856
12;02.02.2020 0:00;1;0;97903;98601
13;02.02.2020 0:00;1;0;97911;98497
14;02.02.2020 0:00;1;0;98167;98807
15;02.02.2020 0:00;1;0;98852;99842
16;02.02.2020 0:00;1;0;100623;101733
17;02.02.2020 0:00;1;0;102766;103841
18;02.02.2020 0:00;1;0;102570;103137
19;02.02.2020 0:00;1;0;101045;101414
20;02.02.2020 0:00;1;0;98871;99552
21;02.02.2020 0:00;1;0;96187;96707
22;02.02.2020 0:00;1;0;92287;92832
23;02.02.2020 0:00;1;0;89113;89601
0;03.02.2020 0:00;1;0;86846;87497
1;03.02.2020 0:00;1;0;85948;86051
2;03.02.2020 0:00;1;0;85289;85462
3;03.02.2020 0:00;1;0;85882;86145
4;03.02.2020 0:00;1;0;88263;88425
5;03.02.2020 0:00;1;0;92254;92932
6;03.02.2020 0:00;1;0;98296;98552
7;03.02.2020 0:00;1;0;102040;102603
8;03.02.2020 0:00;1;0;104997;105574
9;03.02.2020 0:00;1;0;105659;106141
10;03.02.2020 0:00;1;0;105245;105758
11;03.02.2020 0:00;1;0;104551;105087
12;03.02.2020 0:00;1;0;104398;104820
13;03.02.2020 0:00;1;0;104095;104723
14;03.02.2020 0:00;1;0;104294;104353
15;03.02.2020 0:00;1;0;104249;104813
16;03.02.2020 0:00;1;0;104471;105578
17;03.02.2020 0:00;1;0;106530;107077
18;03.02.2020 0:00;1;0;105134;105907
19;03.02.2020 0:00;1;0;103382;104071
20;03.02.2020 0:00;1;0;101562;101856
21;03.02.2020 0:00;1;0;97741;98706
22;03.02.2020 0:00;1;0;94145;94408
23;03.02.2020 0:00;1;0;90562;91000
0;04.02.2020 0:00;1;0;88138;88633
1;04.02.2020 0:00;1;0;86876;87576
2;04.02.2020 0:00;1;0;86002;86557
3;04.02.2020 0:00;1;0;86794;87337
4;04.02.2020 0:00;1;0;88485;89512
5;04.02.2020 0:00;1;0;92713;93416
6;04.02.2020 0:00;1;0;97984;98814
7;04.02.2020 0:00;1;0;101574;102630
8;04.02.2020 0:00;1;0;104019;105448
9;04.02.2020 0:00;1;0;104787;106019
10;04.02.2020 0:00;1;0;104166;105098
11;04.02.2020 0:00;1;0;103442;104429
12;04.02.2020 0:00;1;0;102751;104214
13;04.02.2020 0:00;1;0;104002;103870
14;04.02.2020 0:00;1;0;103177;103563
15;04.02.2020 0:00;1;0;103187;104417
16;04.02.2020 0:00;1;0;103776;104595
17;04.02.2020 0:00;1;0;105343;106547
18;04.02.2020 0:00;1;0;105038;105693
19;04.02.2020 0:00;1;0;103290;103796
20;04.02.2020 0:00;1;0;100879;101878
21;04.02.2020 0:00;1;0;97927;98310
22;04.02.2020 0:00;1;0;93599;94336
23;04.02.2020 0:00;1;0;90061;90892
0;05.02.2020 0:00;1;0;87493;88760
1;05.02.2020 0:00;1;0;86420;87345
2;05.02.2020 0:00;1;0;86256;86502
3;05.02.2020 0:00;1;0;86534;87082
4;05.02.2020 0:00;1;0;88452;89245
5;05.02.2020 0:00;1;0;92609;93466
6;05.02.2020 0:00;1;0;98505;99071
7;05.02.2020 0:00;1;0;101890;102810
8;05.02.2020 0:00;1;0;104676;105430
9;05.02.2020 0:00;1;0;105629;106166
10;05.02.2020 0:00;1;0;104754;105880
11;05.02.2020 0:00;1;0;104276;104741
12;05.02.2020 0:00;1;0;104018;104550
13;05.02.2020 0:00;1;0;104206;104573
14;05.02.2020 0:00;1;0;103834;104400
15;05.02.2020 0:00;1;0;104004;104740
16;05.02.2020 0:00;1;0;104471;105410
17;05.02.2020 0:00;1;0;106650;107471
18;05.02.2020 0:00;1;0;105626;106500
