INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
0;28.10.2020 0:00:00;1;0;79745
1;28.10.2020 0:00:00;1;0;79044
2;28.10.2020 0:00:00;1;0;78392
3;28.10.2020 0:00:00;1;0;79076
4;28.10.2020 0:00:00;1;0;80761
5;28.10.2020 0:00:00;1;0;83835
6;28.10.2020 0:00:00;1;0;88622
7;28.10.2020 0:00:00;1;0;91738
8;28.10.2020 0:00:00;1;0;95433
9;28.10.2020 0:00:00;1;0;96309
10;28.10.2020 0:00:00;1;0;95824
11;28.10.2020 0:00:00;1;0;94405
12;28.10.2020 0:00:00;1;0;94015
13;28.10.2020 0:00:00;1;0;93966
14;28.10.2020 0:00:00;1;0;93702
15;28.10.2020 0:00:00;1;0;94473
16;28.10.2020 0:00:00;1;0;96132
17;28.10.2020 0:00:00;1;0;98206
18;28.10.2020 0:00:00;1;0;97142
19;28.10.2020 0:00:00;1;0;95182
20;28.10.2020 0:00:00;1;0;92980
21;28.10.2020 0:00:00;1;0;89180
22;28.10.2020 0:00:00;1;0;85001
23;28.10.2020 0:00:00;1;0;82331
0;29.10.2020 0:00:00;1;0;79998
1;29.10.2020 0:00:00;1;0;79036
2;29.10.2020 0:00:00;1;0;78508
3;29.10.2020 0:00:00;1;0;78762
4;29.10.2020 0:00:00;1;0;80477
5;29.10.2020 0:00:00;1;0;83592
6;29.10.2020 0:00:00;1;0;88149
7;29.10.2020 0:00:00;1;0;91496
8;29.10.2020 0:00:00;1;0;94792
9;29.10.2020 0:00:00;1;0;95479
10;29.10.2020 0:00:00;1;0;95174
11;29.10.2020 0:00:00;1;0;94192
12;29.10.2020 0:00:00;1;0;94126
13;29.10.2020 0:00:00;1;0;94137
14;29.10.2020 0:00:00;1;0;94099
15;29.10.2020 0:00:00;1;0;95042
16;29.10.2020 0:00:00;1;0;95914
17;29.10.2020 0:00:00;1;0;97363
18;29.10.2020 0:00:00;1;0;96609
19;29.10.2020 0:00:00;1;0;94189
20;29.10.2020 0:00:00;1;0;92272
21;29.10.2020 0:00:00;1;0;89014
22;29.10.2020 0:00:00;1;0;84673
23;29.10.2020 0:00:00;1;0;82044
0;30.10.2020 0:00:00;1;0;79794
1;30.10.2020 0:00:00;1;0;78405
2;30.10.2020 0:00:00;1;0;78163
3;30.10.2020 0:00:00;1;0;78701
4;30.10.2020 0:00:00;1;0;80525
5;30.10.2020 0:00:00;1;0;83439
6;30.10.2020 0:00:00;1;0;88516
7;30.10.2020 0:00:00;1;0;91630
8;30.10.2020 0:00:00;1;0;95161
9;30.10.2020 0:00:00;1;0;96389
10;30.10.2020 0:00:00;1;0;96165
11;30.10.2020 0:00:00;1;0;95174
12;30.10.2020 0:00:00;1;0;94725
13;30.10.2020 0:00:00;1;0;94782
14;30.10.2020 0:00:00;1;0;94711
15;30.10.2020 0:00:00;1;0;95619
16;30.10.2020 0:00:00;1;0;96432
17;30.10.2020 0:00:00;1;0;97469
18;30.10.2020 0:00:00;1;0;96329
19;30.10.2020 0:00:00;1;0;94662
20;30.10.2020 0:00:00;1;0;92685
21;30.10.2020 0:00:00;1;0;89456
22;30.10.2020 0:00:00;1;0;86236
23;30.10.2020 0:00:00;1;0;82666
0;31.10.2020 0:00:00;1;0;80310
1;31.10.2020 0:00:00;1;0;78900
2;31.10.2020 0:00:00;1;0;77937
3;31.10.2020 0:00:00;1;0;78174
4;31.10.2020 0:00:00;1;0;79027
5;31.10.2020 0:00:00;1;0;80608
6;31.10.2020 0:00:00;1;0;83116
7;31.10.2020 0:00:00;1;0;85294
8;31.10.2020 0:00:00;1;0;89049
9;31.10.2020 0:00:00;1;0;91239
10;31.10.2020 0:00:00;1;0;91553
11;31.10.2020 0:00:00;1;0;91387
12;31.10.2020 0:00:00;1;0;91166
13;31.10.2020 0:00:00;1;0;91276
14;31.10.2020 0:00:00;1;0;91264
15;31.10.2020 0:00:00;1;0;92147
16;31.10.2020 0:00:00;1;0;92968
17;31.10.2020 0:00:00;1;0;95114
18;31.10.2020 0:00:00;1;0;93842
19;31.10.2020 0:00:00;1;0;91892
20;31.10.2020 0:00:00;1;0;90393
21;31.10.2020 0:00:00;1;0;87793
22;31.10.2020 0:00:00;1;0;84201
23;31.10.2020 0:00:00;1;0;81579
0;01.11.2020 0:00:00;1;0;79477
1;01.11.2020 0:00:00;1;0;78020
2;01.11.2020 0:00:00;1;0;77437
3;01.11.2020 0:00:00;1;0;77568
4;01.11.2020 0:00:00;1;0;78199
5;01.11.2020 0:00:00;1;0;79406
6;01.11.2020 0:00:00;1;0;81056
7;01.11.2020 0:00:00;1;0;83412
8;01.11.2020 0:00:00;1;0;86717
9;01.11.2020 0:00:00;1;0;89123
10;01.11.2020 0:00:00;1;0;89967
11;01.11.2020 0:00:00;1;0;89921
12;01.11.2020 0:00:00;1;0;89447
13;01.11.2020 0:00:00;1;0;89721
14;01.11.2020 0:00:00;1;0;90663
15;01.11.2020 0:00:00;1;0;91823
16;01.11.2020 0:00:00;1;0;93419
17;01.11.2020 0:00:00;1;0;95078
18;01.11.2020 0:00:00;1;0;94186
19;01.11.2020 0:00:00;1;0;92547
20;01.11.2020 0:00:00;1;0;90687
21;01.11.2020 0:00:00;1;0;87625
22;01.11.2020 0:00:00;1;0;83589
23;01.11.2020 0:00:00;1;0;81126
0;02.11.2020 0:00:00;1;0;78825
1;02.11.2020 0:00:00;1;0;78062
2;02.11.2020 0:00:00;1;0;77498
3;02.11.2020 0:00:00;1;0;77993
4;02.11.2020 0:00:00;1;0;79871
5;02.11.2020 0:00:00;1;0;83232
6;02.11.2020 0:00:00;1;0;87157
7;02.11.2020 0:00:00;1;0;91562
8;02.11.2020 0:00:00;1;0;94925
